"","State","County","Year","annual_median_income","prevalence_asthma_adults_age_adjusted","COPD_deaths_age_adjusted","percent_educ","percent_female","percent_no_leisure","percent_nonwhite","percent_obesity","percent_poverty","smoking_crude"
"150","Alaska","Fairbanks North Star",2019,74076,9.5,45.4,88.8,46.1,22.2,24.5,30.4,7.2,17.6
"151","Alaska","Haines",2018,58943,9.5,45.2,97,50.6,18,20,27.4,10.5,16.9
"152","Alaska","Haines",2019,62548,9.5,40.4,95.2,50.2,19.6,19.9,30.2,9.8,17.1
"153","Alaska","HOONAH-ANGOON CENSUS AREA",2018,51188,10.8,56.7,91.5,46.4,22,51.7,32.9,17.2,22.3
"154","Alaska","HOONAH-ANGOON CENSUS AREA",2019,53141,10.4,40,89.9,46.5,23.6,51.8,34.8,15.7,21.5
"155","Alaska","Juneau",2018,79173,8.9,46.8,96.1,49.1,17.7,31.2,24.6,7.3,16.1
"156","Alaska","Juneau",2019,85419,9.2,41.7,87.6,49.1,16.7,31.6,27.5,6.3,15.3
"157","Alaska","Kenai Peninsula",2018,65439,9.5,43.9,92.8,47.8,20.3,16.9,32,12.4,20.8
"158","Alaska","Kenai Peninsula",2019,68625,9.2,44.1,87.6,47.8,22,16.9,27.4,10.4,19.4
"159","Alaska","Ketchikan Gateway",2018,68309,9.8,74.3,92.7,48.8,20.8,32.6,34.4,9.1,20.1
"160","Alaska","Ketchikan Gateway",2019,75706,9.2,NA,87,48.7,21.5,32.6,31.7,9.4,19.4
"161","Alaska","Kodiak Island",2018,74109,8.6,43.1,89.9,46.9,21.4,45.5,25.5,8.2,19.3
"162","Alaska","Kodiak Island",2019,79669,8.6,44.6,85,46.7,23,46.1,29.2,7.1,16.9
"163","Alaska","Lake and Peninsula",2018,49403,12.4,38.2,85.5,49.1,26.9,76,35.1,18.2,30
"164","Alaska","Lake and Peninsula",2019,51693,11.7,40.4,85.9,49.1,28.3,76.4,37.1,17.4,29.7
"165","Alaska","Matanuska-Susitna",2018,74649,9.9,44.6,92.4,48.1,19.8,17.3,30.1,10.4,20.5
"166","Alaska","Matanuska-Susitna",2019,75856,9.5,44.1,88,48.1,23.9,17.8,32,9.6,20.1
"167","Alaska","Nome",2018,55318,13,165.3,84.1,47.1,26.7,85,38.1,22,34.8
"168","Alaska","Nome",2019,58464,11.8,75.7,81.5,47.3,28.8,84.7,41.8,20.7,31.6
"169","Alaska","North Slope",2018,89276,10.2,121.8,89.8,39.1,23.1,70.3,33,11.1,26.8
"170","Alaska","North Slope",2019,84784,9.6,NA,85,38.8,23.7,70.3,35.1,11.4,25.4
"171","Alaska","Northwest Arctic",2018,59337,13.4,145.2,81.9,45.9,30,88.3,40.2,21.1,34.9
"172","Alaska","Northwest Arctic",2019,61660,12.3,63.4,79.4,46,29.2,88.6,39.1,24,34.9
"173","Alaska","PETERSBURG CENSUS AREA",2018,66075,9.3,63,89.7,48.4,20.4,25.4,27.2,7.2,19.2
"174","Alaska","PETERSBURG CENSUS AREA",2019,71296,9.1,48.9,79.5,48.8,20.5,26.3,28.2,6.7,17.4
"175","Alaska","PRINCE OF WALES-HYDER CENSUS AREA",2018,49356,11.4,70,90.2,45.4,24.1,53.2,32.2,16.5,26.3
"176","Alaska","PRINCE OF WALES-HYDER CENSUS AREA",2019,50049,10.9,50.3,86.9,45.2,24.8,53.8,37,17.6,25
"177","Alaska","Sitka",2018,71825,9.3,NA,94,49,18.4,34.6,26.3,7.7,17.4
"178","Alaska","Sitka",2019,80660,9.1,NA,87.2,48.8,20.1,34.3,28.9,8.1,17.2
"179","Alaska","SKAGWAY MUNICIPALITY",2018,74635,8.8,NA,93.7,47.4,17.1,14.1,27.7,4.3,17.5
"180","Alaska","SKAGWAY MUNICIPALITY",2019,74898,9,NA,85.2,47.1,20.2,14.1,30.7,4,17.7
"181","Alaska","Southeast Fairbanks",2018,63527,9.4,63.6,90.2,45.2,21.3,23,31.6,13.4,22.4
"182","Alaska","Southeast Fairbanks",2019,69646,9.4,49.1,87.2,45.2,23,23.4,32.3,12,21
"183","Alaska","Valdez-Cordova",2018,68528,8.9,44.2,96,47.4,20.9,27.8,31.1,9.7,19.2
"184","Alaska","Valdez-Cordova",2019,74574,8.9,45.3,89.1,47.2,20.2,28.1,30.7,8.6,17.3
"185","Alaska","Wade Hampton",2018,32728,15.9,NA,77.7,47.2,38.5,96.3,44.3,35.1,45.7
"186","Alaska","Wade Hampton",2019,35369,14.3,NA,77.7,47.2,38.2,96.5,45.1,26.8,43.8
"187","Alaska","WRANGELL CITY AND BURROUGH",2018,57832,10.2,70,88.3,47.9,21.6,30.9,29.7,11.6,21.4
"188","Alaska","WRANGELL CITY AND BURROUGH",2019,62496,10,50.3,80.4,48.2,22.3,31.6,30.5,9.7,19.7
"189","Alaska","Yakutat",2018,59523,10.6,NA,91.8,43.3,23,64,32.4,13.1,23
"190","Alaska","Yakutat",2019,61587,10.2,NA,82.8,43.9,23,65.6,33.5,14.7,21.5
"191","Alaska","Yukon-Koyukuk",2018,38912,13.1,67.2,85.7,47.5,28.8,77.2,33.4,23.7,32.1
"192","Alaska","Yukon-Koyukuk",2019,42063,11.9,49.4,83.9,47.6,27.4,76.7,38.4,24.4,30.5
"193","Arizona","Apache",2018,33652,15.4,66.3,79.6,50.8,28.5,77.6,35.2,37.3,24
"194","Arizona","Apache",2019,35386,12.8,61.6,78.5,50.6,29.4,77.6,36.9,33.4,23
"195","Arizona","Cochise",2018,49164,10.1,60.8,87.2,49.3,24.8,12.3,32.9,15.1,16
"196","Arizona","Cochise",2019,48650,10,56.8,82.5,49.1,27.2,12.4,33.9,16.6,16.6
"197","Arizona","Coconino",2018,60187,10.8,89.8,89.6,50.6,18.7,34.3,26.5,15.9,16
"198","Arizona","Coconino",2019,58301,9.8,76.3,83.3,50.8,20.5,34.2,27.6,15.9,16.7
"199","Arizona","Gila",2018,43585,11.7,60.1,85.3,50.5,26,21.4,32.5,20.4,20
"200","Arizona","Gila",2019,45980,10.7,53.9,82.7,50.4,27.2,21.7,31.2,21.1,17.6
"201","Arizona","Graham",2018,50157,10.5,62.2,85.6,46.7,24.1,18.3,34.6,20.2,19.5
"202","Arizona","Graham",2019,50685,9.6,57.3,83,46.5,30.2,18.3,36.8,20.1,17.1
"203","Arizona","Greenlee",2018,65818,9.6,62.7,89,48.5,23.4,9.6,32.9,10.5,16.8
"204","Arizona","Greenlee",2019,68066,9,74.4,86.8,48.1,26.7,9.8,35.8,9.3,15
"205","Arizona","La Paz",2018,37350,11.4,64.2,77.3,48.7,28.9,23.4,36.8,23.7,17.5
"206","Arizona","La Paz",2019,39407,10.2,58.2,75.4,48.7,31.5,23.4,37,22.1,16.9
"207","Arizona","Maricopa",2018,65234,10,58.9,87.4,50.6,21.3,17.1,30,12.3,15.1
"208","Arizona","Maricopa",2019,68634,9.5,52.9,79.8,50.6,24.8,17.4,31,12.2,14.2
